CommitId;RefactoringType;RefactoringDetail
3b1e377f36ce1262cc508b22526e9997cb8dcb62;Extract Interface;Extract Interface	com.facebook.imagepipeline.image.HasImageMetadata from classes [com.facebook.imagepipeline.image.CloseableImage]
89690540b48f5ca4b000a73c1f8534774e6dea34;Split Parameter;Split Parameter	frescoState : FrescoState to [id : String, multiUri : MultiUri, imageRequest : ImageRequest, callerContext : Object, requestListener : RequestListener] in method public getMultiUriDatasourceSupplier(imagePipeline ImagePipeline, multiUri MultiUri, imageRequest ImageRequest, callerContext Object, requestListener RequestListener, id String) : Supplier<DataSource<CloseableReference<CloseableImage>>> in class com.facebook.imagepipeline.multiuri.MultiUri
7c3f0d3aa8903fd32a9cd51bac5ec71c18534f8b;Extract Method;Extract Method	public resetPointsTimestamps() : void extracted from public reset() : void in class com.facebook.drawee.backends.pipeline.info.ImagePerfState
a0d78c9cb8cbb9b17ffc053c7d7313ff96ac7e9f;Change Attribute Type;Change Attribute Type	HEIF_HEADER_PREFIX : String to HEIF_HEADER_PREFIX : byte[] in class com.facebook.imageformat.DefaultImageFormatChecker
a0d78c9cb8cbb9b17ffc053c7d7313ff96ac7e9f;Change Attribute Type;Change Attribute Type	HEIF_HEADER_SUFFIXES : String[] to HEIF_HEADER_SUFFIXES : byte[][] in class com.facebook.imageformat.DefaultImageFormatChecker
a0d78c9cb8cbb9b17ffc053c7d7313ff96ac7e9f;Change Variable Type;Change Variable Type	heifFtype : String to heifFtype : byte[] in method private isHeifHeader(imageHeaderBytes byte[], headerSize int) : boolean in class com.facebook.imageformat.DefaultImageFormatChecker
1884d61893582ce410584a09e012fe345771b706;Extract Method;Extract Method	public hasPatternAt(byteArray byte[], pattern byte[], offset int) : boolean extracted from public startsWithPattern(byteArray byte[], pattern byte[]) : boolean in class com.facebook.imageformat.ImageFormatCheckerUtils
de1406e70dfe4d2ab28a050d17f51aefa0ed9198;Move Class;Move Class	com.facebook.fresco.animation.factory.ExperimentalBitmapAnimationDrawableFactory.AnimationFrameCacheKey moved to com.facebook.fresco.animation.bitmap.cache.AnimationFrameCacheKey
27eb7f3c220d41f5928840e3ca791a9db48c037e;Change Parameter Type;Change Parameter Type	imageOptions : ImageOptions to imageOptions : DecodedImageOptions in method public buildImageRequest(uri Uri, imageOptions DecodedImageOptions) : ImageRequest in class com.facebook.fresco.vito.core.FrescoContext
27eb7f3c220d41f5928840e3ca791a9db48c037e;Change Parameter Type;Change Parameter Type	imageOptions : ImageOptions to imageOptions : DecodedImageOptions in method protected createDecodedImageRequestBuilder(uri Uri, imageOptions DecodedImageOptions) : ImageRequestBuilder in class com.facebook.fresco.vito.core.FrescoContext
27eb7f3c220d41f5928840e3ca791a9db48c037e;Rename Method;Rename Method	protected createImageRequestBuilder(uri Uri, imageOptions ImageOptions) : ImageRequestBuilder renamed to protected createDecodedImageRequestBuilder(uri Uri, imageOptions DecodedImageOptions) : ImageRequestBuilder in class com.facebook.fresco.vito.core.FrescoContext
27eb7f3c220d41f5928840e3ca791a9db48c037e;Extract Method;Extract Method	protected createEncodedImageRequestBuilder(uri Uri, imageOptions EncodedImageOptions) : ImageRequestBuilder extracted from protected createImageRequestBuilder(uri Uri, imageOptions ImageOptions) : ImageRequestBuilder in class com.facebook.fresco.vito.core.FrescoContext
26dfac78955b87c65d277da0c1d83c416c9610fa;Extract Subclass;Extract Subclass	com.facebook.drawee.components.DeferredReleaserConcurrentImpl from class com.facebook.drawee.components.DeferredReleaser
26dfac78955b87c65d277da0c1d83c416c9610fa;Push Down Attribute;Push Down Attribute	protected mPendingReleasables : Set<Releasable> from class com.facebook.drawee.components.DeferredReleaser to protected mPendingReleasables : Set<Releasable> from class com.facebook.drawee.components.DeferredReleaserLegacyImpl
26dfac78955b87c65d277da0c1d83c416c9610fa;Push Down Method;Push Down Method	public scheduleDeferredRelease(releasable Releasable) : void from class com.facebook.drawee.components.DeferredReleaser to public scheduleDeferredRelease(releasable Releasable) : void from class com.facebook.drawee.components.DeferredReleaserConcurrentImpl
26dfac78955b87c65d277da0c1d83c416c9610fa;Push Down Method;Push Down Method	public cancelDeferredRelease(releasable Releasable) : void from class com.facebook.drawee.components.DeferredReleaser to public cancelDeferredRelease(releasable Releasable) : void from class com.facebook.drawee.components.DeferredReleaserConcurrentImpl
26dfac78955b87c65d277da0c1d83c416c9610fa;Push Down Attribute;Push Down Attribute	protected mUiHandler : Handler from class com.facebook.drawee.components.DeferredReleaser to private mUiHandler : Handler from class com.facebook.drawee.components.DeferredReleaserConcurrentImpl
26dfac78955b87c65d277da0c1d83c416c9610fa;Push Down Attribute;Push Down Attribute	private releaseRunnable : Runnable from class com.facebook.drawee.components.DeferredReleaser to private releaseRunnable : Runnable from class com.facebook.drawee.components.DeferredReleaserConcurrentImpl
26dfac78955b87c65d277da0c1d83c416c9610fa;Push Down Method;Push Down Method	public DeferredReleaser() from class com.facebook.drawee.components.DeferredReleaser to public DeferredReleaserLegacyImpl() from class com.facebook.drawee.components.DeferredReleaserLegacyImpl
26dfac78955b87c65d277da0c1d83c416c9610fa;Push Down Method;Push Down Method	private ensureOnUiThread() : void from class com.facebook.drawee.components.DeferredReleaser to private ensureOnUiThread() : void from class com.facebook.drawee.components.DeferredReleaserLegacyImpl
466bf607d2873cfc56d63547c88a53bd9e947583;Move Source Folder;Move Source Folder	imagepipeline to memory-types/simple
466bf607d2873cfc56d63547c88a53bd9e947583;Change Return Type;Change Return Type	BufferMemoryChunkPool to MemoryChunkPool in method public getBufferMemoryChunkPool() : MemoryChunkPool in class com.facebook.imagepipeline.memory.PoolFactory
466bf607d2873cfc56d63547c88a53bd9e947583;Change Attribute Type;Change Attribute Type	mBufferMemoryChunkPool : BufferMemoryChunkPool to mBufferMemoryChunkPool : MemoryChunkPool in class com.facebook.imagepipeline.memory.PoolFactory
6a6631a74381d25283379fab8a75acf00ad6ebf9;Move Source Folder;Move Source Folder	imagepipeline to memory-types/nativememory
6a6631a74381d25283379fab8a75acf00ad6ebf9;Change Return Type;Change Return Type	NativeMemoryChunkPool to MemoryChunkPool in method public getNativeMemoryChunkPool() : MemoryChunkPool in class com.facebook.imagepipeline.memory.PoolFactory
6a6631a74381d25283379fab8a75acf00ad6ebf9;Change Attribute Type;Change Attribute Type	mNativeMemoryChunkPool : NativeMemoryChunkPool to mNativeMemoryChunkPool : MemoryChunkPool in class com.facebook.imagepipeline.memory.PoolFactory
6a6631a74381d25283379fab8a75acf00ad6ebf9;Change Attribute Type;Change Attribute Type	mNativePool : NativeMemoryChunkPool to mNativePool : MemoryChunkPool in class com.facebook.imagepipeline.memory.MemoryPooledByteBufferOutputStreamTest
