CommitId;RefactoringType;RefactoringDetail
3b1e377f36ce1262cc508b22526e9997cb8dcb62;Extract Interface;Extract Interface	com.facebook.imagepipeline.image.HasImageMetadata from classes [com.facebook.imagepipeline.image.CloseableImage]
9b1ec9f3046091e4651616bba13b7c5e41309098;Change Variable Type;Change Variable Type	isLast : boolean to status : int in method private doJob() : void in class com.facebook.imagepipeline.producers.JobScheduler
9b1ec9f3046091e4651616bba13b7c5e41309098;Rename Variable;Rename Variable	isLast : boolean to status : int in method private doJob() : void in class com.facebook.imagepipeline.producers.JobScheduler
9b1ec9f3046091e4651616bba13b7c5e41309098;Rename Attribute;Rename Attribute	mIsLast : boolean to mStatus : int in class com.facebook.imagepipeline.producers.JobScheduler
9b1ec9f3046091e4651616bba13b7c5e41309098;Change Attribute Type;Change Attribute Type	mIsLast : boolean to mStatus : int in class com.facebook.imagepipeline.producers.JobScheduler
9b1ec9f3046091e4651616bba13b7c5e41309098;Rename Parameter;Rename Parameter	isLast : boolean to status : int in method protected onNewResultImpl(newResult EncodedImage, status int) : void in class com.facebook.imagepipeline.producers.ResizeAndRotateProducer.TransformingConsumer
9b1ec9f3046091e4651616bba13b7c5e41309098;Change Parameter Type;Change Parameter Type	isLast : boolean to status : int in method protected onNewResultImpl(newResult EncodedImage, status int) : void in class com.facebook.imagepipeline.producers.ResizeAndRotateProducer.TransformingConsumer
9b1ec9f3046091e4651616bba13b7c5e41309098;Rename Parameter;Rename Parameter	isLast : boolean to status : int in method private doTransform(encodedImage EncodedImage, status int) : void in class com.facebook.imagepipeline.producers.ResizeAndRotateProducer.TransformingConsumer
9b1ec9f3046091e4651616bba13b7c5e41309098;Change Parameter Type;Change Parameter Type	isLast : boolean to status : int in method private doTransform(encodedImage EncodedImage, status int) : void in class com.facebook.imagepipeline.producers.ResizeAndRotateProducer.TransformingConsumer
9b1ec9f3046091e4651616bba13b7c5e41309098;Rename Parameter;Rename Parameter	isLast : boolean to status : int in method private assertJobsEqual(job TestJobRunnable.Job, encodedImage EncodedImage, status int) : void in class com.facebook.imagepipeline.producers.JobSchedulerTest
9b1ec9f3046091e4651616bba13b7c5e41309098;Change Parameter Type;Change Parameter Type	isLast : boolean to status : int in method private assertJobsEqual(job TestJobRunnable.Job, encodedImage EncodedImage, status int) : void in class com.facebook.imagepipeline.producers.JobSchedulerTest
9b1ec9f3046091e4651616bba13b7c5e41309098;Rename Parameter;Rename Parameter	isLast : boolean to status : int in method public run(encodedImage EncodedImage, status int) : void in class com.facebook.imagepipeline.producers.JobSchedulerTest.TestJobRunnable
9b1ec9f3046091e4651616bba13b7c5e41309098;Change Parameter Type;Change Parameter Type	isLast : boolean to status : int in method public run(encodedImage EncodedImage, status int) : void in class com.facebook.imagepipeline.producers.JobSchedulerTest.TestJobRunnable
9b1ec9f3046091e4651616bba13b7c5e41309098;Rename Parameter;Rename Parameter	isLast : boolean to status : int in method public Job(encodedImage EncodedImage, status int) in class com.facebook.imagepipeline.producers.JobSchedulerTest.TestJobRunnable.Job
9b1ec9f3046091e4651616bba13b7c5e41309098;Change Parameter Type;Change Parameter Type	isLast : boolean to status : int in method public Job(encodedImage EncodedImage, status int) in class com.facebook.imagepipeline.producers.JobSchedulerTest.TestJobRunnable.Job
9b1ec9f3046091e4651616bba13b7c5e41309098;Rename Attribute;Rename Attribute	isLast : boolean to status : int in class com.facebook.imagepipeline.producers.JobSchedulerTest.TestJobRunnable.Job
9b1ec9f3046091e4651616bba13b7c5e41309098;Change Attribute Type;Change Attribute Type	isLast : boolean to status : int in class com.facebook.imagepipeline.producers.JobSchedulerTest.TestJobRunnable.Job
9b1ec9f3046091e4651616bba13b7c5e41309098;Rename Parameter;Rename Parameter	isLast : boolean to status : int in method public run(encodedImage EncodedImage, status int) : void in class com.facebook.imagepipeline.producers.JobScheduler.JobRunnable
9b1ec9f3046091e4651616bba13b7c5e41309098;Change Parameter Type;Change Parameter Type	isLast : boolean to status : int in method public run(encodedImage EncodedImage, status int) : void in class com.facebook.imagepipeline.producers.JobScheduler.JobRunnable
2043c881fd3d42f842575807a689bec47972ae9b;Rename Parameter;Rename Parameter	isLast : boolean to status : int in method protected onNewResultImpl(result T, status int) : void in class com.facebook.imagepipeline.datasource.AbstractProducerToDataSourceAdapter
2043c881fd3d42f842575807a689bec47972ae9b;Change Parameter Type;Change Parameter Type	isLast : boolean to status : int in method protected onNewResultImpl(result T, status int) : void in class com.facebook.imagepipeline.datasource.AbstractProducerToDataSourceAdapter
2043c881fd3d42f842575807a689bec47972ae9b;Change Variable Type;Change Variable Type	isLast : boolean to status : int in method private createConsumer() : Consumer<T> in class com.facebook.imagepipeline.datasource.AbstractProducerToDataSourceAdapter
2043c881fd3d42f842575807a689bec47972ae9b;Rename Variable;Rename Variable	isLast : boolean to status : int in method private createConsumer() : Consumer<T> in class com.facebook.imagepipeline.datasource.AbstractProducerToDataSourceAdapter
2043c881fd3d42f842575807a689bec47972ae9b;Rename Parameter;Rename Parameter	isLast : boolean to status : int in method protected onNewResultImpl(result CloseableReference<T>, status int) : void in class com.facebook.imagepipeline.datasource.CloseableProducerToDataSourceAdapter
2043c881fd3d42f842575807a689bec47972ae9b;Change Parameter Type;Change Parameter Type	isLast : boolean to status : int in method protected onNewResultImpl(result CloseableReference<T>, status int) : void in class com.facebook.imagepipeline.datasource.CloseableProducerToDataSourceAdapter
2043c881fd3d42f842575807a689bec47972ae9b;Rename Parameter;Rename Parameter	isLast : boolean to status : int in method protected onNewResultImpl(newResult EncodedImage, status int) : void in class com.facebook.imagepipeline.producers.AddImageTransformMetaDataProducer.AddImageTransformMetaDataConsumer
2043c881fd3d42f842575807a689bec47972ae9b;Change Parameter Type;Change Parameter Type	isLast : boolean to status : int in method protected onNewResultImpl(newResult EncodedImage, status int) : void in class com.facebook.imagepipeline.producers.AddImageTransformMetaDataProducer.AddImageTransformMetaDataConsumer
2043c881fd3d42f842575807a689bec47972ae9b;Rename Parameter;Rename Parameter	isLast : boolean to status : int in method protected onNewResultImpl(newResult EncodedImage, status int) : void in class com.facebook.imagepipeline.producers.MediaVariationsFallbackProducer.MediaVariationsConsumer
2043c881fd3d42f842575807a689bec47972ae9b;Change Parameter Type;Change Parameter Type	isLast : boolean to status : int in method protected onNewResultImpl(newResult EncodedImage, status int) : void in class com.facebook.imagepipeline.producers.MediaVariationsFallbackProducer.MediaVariationsConsumer
2043c881fd3d42f842575807a689bec47972ae9b;Rename Parameter;Rename Parameter	isFinal : boolean to status : int in method public onNextResult(consumer ForwardingConsumer, closeableObject T, status int) : void in class com.facebook.imagepipeline.producers.MultiplexProducer.Multiplexer
2043c881fd3d42f842575807a689bec47972ae9b;Change Parameter Type;Change Parameter Type	isFinal : boolean to status : int in method public onNextResult(consumer ForwardingConsumer, closeableObject T, status int) : void in class com.facebook.imagepipeline.producers.MultiplexProducer.Multiplexer
2043c881fd3d42f842575807a689bec47972ae9b;Rename Parameter;Rename Parameter	isLast : boolean to status : int in method protected onNewResultImpl(newResult T, status int) : void in class com.facebook.imagepipeline.producers.MultiplexProducer.Multiplexer.ForwardingConsumer
2043c881fd3d42f842575807a689bec47972ae9b;Change Parameter Type;Change Parameter Type	isLast : boolean to status : int in method protected onNewResultImpl(newResult T, status int) : void in class com.facebook.imagepipeline.producers.MultiplexProducer.Multiplexer.ForwardingConsumer
2043c881fd3d42f842575807a689bec47972ae9b;Rename Parameter;Rename Parameter	isLast : boolean to status : int in method protected onNewResultImpl(newResult EncodedImage, status int) : void in class com.facebook.imagepipeline.producers.RemoveImageTransformMetaDataProducer.RemoveImageTransformMetaDataConsumer
2043c881fd3d42f842575807a689bec47972ae9b;Change Parameter Type;Change Parameter Type	isLast : boolean to status : int in method protected onNewResultImpl(newResult EncodedImage, status int) : void in class com.facebook.imagepipeline.producers.RemoveImageTransformMetaDataProducer.RemoveImageTransformMetaDataConsumer
2043c881fd3d42f842575807a689bec47972ae9b;Rename Parameter;Rename Parameter	isLast : boolean to status : int in method protected onNewResultImpl(newResult T, status int) : void in class com.facebook.imagepipeline.producers.ThrottlingProducer.ThrottlerConsumer
2043c881fd3d42f842575807a689bec47972ae9b;Change Parameter Type;Change Parameter Type	isLast : boolean to status : int in method protected onNewResultImpl(newResult T, status int) : void in class com.facebook.imagepipeline.producers.ThrottlingProducer.ThrottlerConsumer
2043c881fd3d42f842575807a689bec47972ae9b;Rename Parameter;Rename Parameter	isLast : boolean to status : int in method protected onNewResultImpl(newResult EncodedImage, status int) : void in class com.facebook.imagepipeline.producers.WebpTranscodeProducer.WebpTranscodeConsumer
2043c881fd3d42f842575807a689bec47972ae9b;Change Parameter Type;Change Parameter Type	isLast : boolean to status : int in method protected onNewResultImpl(newResult EncodedImage, status int) : void in class com.facebook.imagepipeline.producers.WebpTranscodeProducer.WebpTranscodeConsumer
c46a525e929fbd66cf2e75bf636fc309b0b52217;Rename Parameter;Rename Parameter	isLast : boolean to status : int in method public onNewResultImpl(newResult EncodedImage, status int) : void in class com.facebook.imagepipeline.producers.EncodedMemoryCacheProducer.EncodedMemoryCacheConsumer
c46a525e929fbd66cf2e75bf636fc309b0b52217;Change Parameter Type;Change Parameter Type	isLast : boolean to status : int in method public onNewResultImpl(newResult EncodedImage, status int) : void in class com.facebook.imagepipeline.producers.EncodedMemoryCacheProducer.EncodedMemoryCacheConsumer
c46a525e929fbd66cf2e75bf636fc309b0b52217;Rename Parameter;Rename Parameter	isLast : boolean to status : int in method protected onNewResultImpl(newResult CloseableReference<CloseableImage>, status int) : void in class com.facebook.imagepipeline.producers.PostprocessedBitmapMemoryCacheProducer.CachedPostprocessorConsumer
c46a525e929fbd66cf2e75bf636fc309b0b52217;Change Parameter Type;Change Parameter Type	isLast : boolean to status : int in method protected onNewResultImpl(newResult CloseableReference<CloseableImage>, status int) : void in class com.facebook.imagepipeline.producers.PostprocessedBitmapMemoryCacheProducer.CachedPostprocessorConsumer
f07d30e673a439fa8a55e9fcddd5750fdc6ea1e9;Rename Parameter;Rename Parameter	isLast : boolean to status : int in method public onNewResultImpl(newResult EncodedImage, status int) : void in class com.facebook.imagepipeline.producers.DiskCacheWriteProducer.DiskCacheWriteConsumer
f07d30e673a439fa8a55e9fcddd5750fdc6ea1e9;Change Parameter Type;Change Parameter Type	isLast : boolean to status : int in method public onNewResultImpl(newResult EncodedImage, status int) : void in class com.facebook.imagepipeline.producers.DiskCacheWriteProducer.DiskCacheWriteConsumer
1ed1423a626c35d1e27690a520b0381fc27bbfd7;Extract Method;Extract Method	public onNewResult(newResult T, status int) : void extracted from public onNewResult(newResult T, isLast boolean) : void in class com.facebook.imagepipeline.producers.BaseConsumer
1ed1423a626c35d1e27690a520b0381fc27bbfd7;Change Variable Type;Change Variable Type	isLast : boolean to status : int in method public setUp() : void in class com.facebook.imagepipeline.producers.BaseConsumerTest
1ed1423a626c35d1e27690a520b0381fc27bbfd7;Rename Variable;Rename Variable	isLast : boolean to status : int in method public setUp() : void in class com.facebook.imagepipeline.producers.BaseConsumerTest
e4821d87f408604eb84c6a33979beb1195decd7e;Rename Attribute;Rename Attribute	mDiskCachePolicy : DiskCachePolicy to mCacheKeyFactory : CacheKeyFactory in class com.facebook.imagepipeline.producers.DiskCacheReadProducer
e4821d87f408604eb84c6a33979beb1195decd7e;Change Attribute Type;Change Attribute Type	mDiskCachePolicy : DiskCachePolicy to mCacheKeyFactory : CacheKeyFactory in class com.facebook.imagepipeline.producers.DiskCacheReadProducer
abe6d795dfdda6f157da577e9ed2a1936ef241f1;Rename Attribute;Rename Attribute	mDiskCachePolicy : DiskCachePolicy to mCacheKeyFactory : CacheKeyFactory in class com.facebook.imagepipeline.producers.DiskCacheWriteProducer
abe6d795dfdda6f157da577e9ed2a1936ef241f1;Change Attribute Type;Change Attribute Type	mDiskCachePolicy : DiskCachePolicy to mCacheKeyFactory : CacheKeyFactory in class com.facebook.imagepipeline.producers.DiskCacheWriteProducer
abe6d795dfdda6f157da577e9ed2a1936ef241f1;Rename Attribute;Rename Attribute	mDiskCachePolicy : DiskCachePolicy to mCacheKeyFactory : CacheKeyFactory in class com.facebook.imagepipeline.producers.DiskCacheWriteProducer.DiskCacheWriteConsumer
abe6d795dfdda6f157da577e9ed2a1936ef241f1;Change Attribute Type;Change Attribute Type	mDiskCachePolicy : DiskCachePolicy to mCacheKeyFactory : CacheKeyFactory in class com.facebook.imagepipeline.producers.DiskCacheWriteProducer.DiskCacheWriteConsumer
abe6d795dfdda6f157da577e9ed2a1936ef241f1;Rename Method;Rename Method	public testInputProducerSuccess() : void renamed to public testDefaultDiskCacheInputProducerSuccess() : void in class com.facebook.imagepipeline.producers.DiskCacheWriteProducerTest
abe6d795dfdda6f157da577e9ed2a1936ef241f1;Rename Attribute;Rename Attribute	mDiskCachePolicy : DiskCachePolicy to mSmallImageBufferedDiskCache : BufferedDiskCache in class com.facebook.imagepipeline.producers.DiskCacheWriteProducerTest
abe6d795dfdda6f157da577e9ed2a1936ef241f1;Change Attribute Type;Change Attribute Type	mDiskCachePolicy : DiskCachePolicy to mSmallImageBufferedDiskCache : BufferedDiskCache in class com.facebook.imagepipeline.producers.DiskCacheWriteProducerTest
116d1bd4fa633843d4ec02d92d86c72e96cdd88d;Extract Variable;Extract Variable	forwardedProducerContext : ProducerContext in method public then(task Task<EncodedImage>) : Void from class com.facebook.imagepipeline.producers.MediaVariationsFallbackProducer.onFinishDiskReads
7a1f6146196eb9227a412871e21b2360a387a58e;Pull Up Attribute;Pull Up Attribute	private mIsClosed : boolean from class com.facebook.common.references.CloseableReference.CloseableReferenceWithFinalizer to private mIsClosed : boolean from class com.facebook.common.references.CloseableReference
7a1f6146196eb9227a412871e21b2360a387a58e;Pull Up Attribute;Pull Up Attribute	private mSharedReference : SharedReference<T> from class com.facebook.common.references.CloseableReference.CloseableReferenceWithFinalizer to private mSharedReference : SharedReference<T> from class com.facebook.common.references.CloseableReference
7a1f6146196eb9227a412871e21b2360a387a58e;Pull Up Method;Pull Up Method	private CloseableReferenceWithoutFinalizer(sharedReference SharedReference<T>) from class com.facebook.common.references.CloseableReference.CloseableReferenceWithoutFinalizer to private CloseableReference(sharedReference SharedReference<T>) from class com.facebook.common.references.CloseableReference
7a1f6146196eb9227a412871e21b2360a387a58e;Pull Up Method;Pull Up Method	private CloseableReferenceWithFinalizer(sharedReference SharedReference<T>) from class com.facebook.common.references.CloseableReference.CloseableReferenceWithFinalizer to private CloseableReference(sharedReference SharedReference<T>) from class com.facebook.common.references.CloseableReference
7a1f6146196eb9227a412871e21b2360a387a58e;Pull Up Method;Pull Up Method	private CloseableReferenceWithoutFinalizer(t T, resourceReleaser ResourceReleaser<T>) from class com.facebook.common.references.CloseableReference.CloseableReferenceWithoutFinalizer to private CloseableReference(t T, resourceReleaser ResourceReleaser<T>) from class com.facebook.common.references.CloseableReference
7a1f6146196eb9227a412871e21b2360a387a58e;Pull Up Method;Pull Up Method	private CloseableReferenceWithFinalizer(t T, resourceReleaser ResourceReleaser<T>) from class com.facebook.common.references.CloseableReference.CloseableReferenceWithFinalizer to private CloseableReference(t T, resourceReleaser ResourceReleaser<T>) from class com.facebook.common.references.CloseableReference
7a1f6146196eb9227a412871e21b2360a387a58e;Pull Up Method;Pull Up Method	public get() : T from class com.facebook.common.references.CloseableReference.CloseableReferenceWithFinalizer to public get() : T from class com.facebook.common.references.CloseableReference
7a1f6146196eb9227a412871e21b2360a387a58e;Pull Up Method;Pull Up Method	public clone() : CloseableReference<T> from class com.facebook.common.references.CloseableReference.CloseableReferenceWithFinalizer to public clone() : CloseableReference<T> from class com.facebook.common.references.CloseableReference
7a1f6146196eb9227a412871e21b2360a387a58e;Pull Up Method;Pull Up Method	public cloneOrNull() : CloseableReference<T> from class com.facebook.common.references.CloseableReference.CloseableReferenceWithFinalizer to public cloneOrNull() : CloseableReference<T> from class com.facebook.common.references.CloseableReference
7a1f6146196eb9227a412871e21b2360a387a58e;Pull Up Method;Pull Up Method	public isValid() : boolean from class com.facebook.common.references.CloseableReference.CloseableReferenceWithFinalizer to public isValid() : boolean from class com.facebook.common.references.CloseableReference
7a1f6146196eb9227a412871e21b2360a387a58e;Pull Up Method;Pull Up Method	public getUnderlyingReferenceTestOnly() : SharedReference<T> from class com.facebook.common.references.CloseableReference.CloseableReferenceWithoutFinalizer to public getUnderlyingReferenceTestOnly() : SharedReference<T> from class com.facebook.common.references.CloseableReference
7a1f6146196eb9227a412871e21b2360a387a58e;Pull Up Method;Pull Up Method	public getUnderlyingReferenceTestOnly() : SharedReference<T> from class com.facebook.common.references.CloseableReference.CloseableReferenceWithFinalizer to public getUnderlyingReferenceTestOnly() : SharedReference<T> from class com.facebook.common.references.CloseableReference
7a1f6146196eb9227a412871e21b2360a387a58e;Pull Up Method;Pull Up Method	public getValueHash() : int from class com.facebook.common.references.CloseableReference.CloseableReferenceWithoutFinalizer to public getValueHash() : int from class com.facebook.common.references.CloseableReference
7a1f6146196eb9227a412871e21b2360a387a58e;Pull Up Method;Pull Up Method	public getValueHash() : int from class com.facebook.common.references.CloseableReference.CloseableReferenceWithFinalizer to public getValueHash() : int from class com.facebook.common.references.CloseableReference
7a1f6146196eb9227a412871e21b2360a387a58e;Pull Up Method;Pull Up Method	public close() : void from class com.facebook.common.references.CloseableReference.CloseableReferenceWithFinalizer to public close() : void from class com.facebook.common.references.CloseableReference
7a1f6146196eb9227a412871e21b2360a387a58e;Pull Up Method;Pull Up Method	protected finalize() : void from class com.facebook.common.references.CloseableReference.CloseableReferenceWithFinalizer to protected finalize() : void from class com.facebook.common.references.CloseableReference
6ee00684cec93418c8b71e9285d30026c496d3cd;Extract Method;Extract Method	private updateText() : void extracted from public onViewCreated(view View, savedInstanceState Bundle) : void in class com.facebook.fresco.samples.showcase.drawee.DraweeSpanSimpleTextFragment
6ee00684cec93418c8b71e9285d30026c496d3cd;Change Variable Type;Change Variable Type	draweeSpanTextView : SimpleDraweeSpanTextView to scaleType : Spinner in method public onViewCreated(view View, savedInstanceState Bundle) : void in class com.facebook.fresco.samples.showcase.drawee.DraweeSpanSimpleTextFragment
6ee00684cec93418c8b71e9285d30026c496d3cd;Rename Variable;Rename Variable	draweeSpanTextView : SimpleDraweeSpanTextView to scaleType : Spinner in method public onViewCreated(view View, savedInstanceState Bundle) : void in class com.facebook.fresco.samples.showcase.drawee.DraweeSpanSimpleTextFragment
6ee00684cec93418c8b71e9285d30026c496d3cd;Replace Variable With Attribute;Replace Variable With Attribute	draweeSpanTextView : SimpleDraweeSpanTextView to mDraweeSpanTextView : SimpleDraweeSpanTextView in method private updateText() : void in class com.facebook.fresco.samples.showcase.drawee.DraweeSpanSimpleTextFragment
5274bd4a5022a122ce9f43a3e49a0b20b01b47ed;Inline Method;Inline Method	private shouldDrawCircleFast() : boolean inlined to private updatePath() : void in class com.facebook.drawee.drawable.RoundedBitmapDrawable
399dea3a21898513dd94b56ffa4ddee70f3d1aea;Rename Parameter;Rename Parameter	drawableFactories : ImmutableList<DrawableFactory> to globalDrawableFactories : ImmutableList<DrawableFactory> in method public PipelineDraweeController(resources Resources, deferredReleaser DeferredReleaser, animatedDrawableFactory AnimatedDrawableFactory, uiThreadExecutor Executor, memoryCache MemoryCache<CacheKey,CloseableImage>, dataSourceSupplier Supplier<DataSource<CloseableReference<CloseableImage>>>, id String, cacheKey CacheKey, callerContext Object, globalDrawableFactories ImmutableList<DrawableFactory>) in class com.facebook.drawee.backends.pipeline.PipelineDraweeController
399dea3a21898513dd94b56ffa4ddee70f3d1aea;Extract Method;Extract Method	private maybeCreateDrawableFromFactories(drawableFactories ImmutableList<DrawableFactory>, closeableImage CloseableImage) : Drawable extracted from protected createDrawable(image CloseableReference<CloseableImage>) : Drawable in class com.facebook.drawee.backends.pipeline.PipelineDraweeController
399dea3a21898513dd94b56ffa4ddee70f3d1aea;Extract Method;Extract Method	private maybeCreateDrawableFromFactories(drawableFactories ImmutableList<DrawableFactory>, closeableImage CloseableImage) : Drawable extracted from protected createDrawable(image CloseableReference<CloseableImage>) : Drawable in class com.facebook.drawee.backends.pipeline.PipelineDraweeController
399dea3a21898513dd94b56ffa4ddee70f3d1aea;Extract Method;Extract Method	public newController(dataSourceSupplier Supplier<DataSource<CloseableReference<CloseableImage>>>, id String, cacheKey CacheKey, callerContext Object, customDrawableFactories ImmutableList<DrawableFactory>) : PipelineDraweeController extracted from public newController(dataSourceSupplier Supplier<DataSource<CloseableReference<CloseableImage>>>, id String, cacheKey CacheKey, callerContext Object) : PipelineDraweeController in class com.facebook.drawee.backends.pipeline.PipelineDraweeControllerFactory
479c234b3b9caaf7807f17a64f475c94ac9ecbe8;Extract Method;Extract Method	public get(bitmapMemoryCacheParamsSupplier Supplier<MemoryCacheParams>, memoryTrimmableRegistry MemoryTrimmableRegistry, platformBitmapFactory PlatformBitmapFactory, isExternalCreatedBitmapLogEnabled boolean, trimStrategy CountingMemoryCache.CacheTrimStrategy) : CountingMemoryCache<CacheKey,CloseableImage> extracted from public get(bitmapMemoryCacheParamsSupplier Supplier<MemoryCacheParams>, memoryTrimmableRegistry MemoryTrimmableRegistry, platformBitmapFactory PlatformBitmapFactory, isExternalCreatedBitmapLogEnabled boolean) : CountingMemoryCache<CacheKey,CloseableImage> in class com.facebook.imagepipeline.cache.BitmapCountingMemoryCacheFactory
391b9ec8e1dfe5243d87ee05d46c37919564c320;Extract Method;Extract Method	private shouldDrawCircleFast() : boolean extracted from private updatePath() : void in class com.facebook.drawee.drawable.RoundedBitmapDrawable
a07af1335b86d7d2af6847383889b5b54fb6ef98;Rename Method;Rename Method	private verifyListenersCalled(frameNumber int, bitmap Bitmap, frameType int) : void renamed to private verifyListenersAndCacheNotified(frameNumber int, frameType int) : void in class com.facebook.fresco.animation.bitmap.BitmapAnimationBackendTest
2e0fc5c4b459d6ed0c789d8f64adc0f549257cef;Extract Method;Extract Method	private createImageReference(bitmapReference CloseableReference<Bitmap>) : CloseableReference<CloseableImage> extracted from public onFrameRendered(frameNumber int, bitmapReference CloseableReference<Bitmap>, frameType int) : void in class com.facebook.fresco.animation.bitmap.cache.FrescoFrameCache
2e0fc5c4b459d6ed0c789d8f64adc0f549257cef;Rename Attribute;Rename Attribute	mLastCachedItem : CloseableReference<CloseableImage> to mLastRenderedItem : CloseableReference<CloseableImage> in class com.facebook.fresco.animation.bitmap.cache.FrescoFrameCache
825c6126d521a24c24e70acf5168ba3ddb69c25a;Extract Attribute;Extract Attribute	public FRAME_TYPE_UNKNOWN : int in class com.facebook.fresco.animation.bitmap.BitmapAnimationBackend
d5aeba8815763058f370853eec4daac857fac5e6;Change Return Type;Change Return Type	void to ImageDecodeOptionsBuilder in method public setBitmapConfig(bitmapConfig Bitmap.Config) : ImageDecodeOptionsBuilder in class com.facebook.imagepipeline.common.ImageDecodeOptionsBuilder
8af5fd16abb84db74e0d12a1198cb8f189d5e893;Rename Method;Rename Method	private drawBitmapNotifyAndClose(frameNumber int, bitmapReference CloseableReference<Bitmap>, canvas Canvas, frameType int) : boolean renamed to private drawBitmapAndCache(frameNumber int, bitmapReference CloseableReference<Bitmap>, canvas Canvas, frameType int) : boolean in class com.facebook.fresco.animation.bitmap.BitmapAnimationBackend
5fbe8699e1b88871f421945e2941eabd234fe5f7;Extract Variable;Extract Variable	reusedRef : CloseableReference<Integer> in method public testCantReuseNonExclusive() : void from class com.facebook.imagepipeline.cache.CountingMemoryCacheTest
4e6e97a133323e2fbc4b564c92db9eb80789cd47;Rename Parameter;Rename Parameter	bitmap : CloseableReference<Bitmap> to bitmapReference : CloseableReference<Bitmap> in method public onFrameRendered(frameNumber int, bitmapReference CloseableReference<Bitmap>, frameType int) : void in class com.facebook.fresco.animation.bitmap.BitmapFrameCache
4e6e97a133323e2fbc4b564c92db9eb80789cd47;Rename Parameter;Rename Parameter	bitmap : CloseableReference<Bitmap> to bitmapReference : CloseableReference<Bitmap> in method public onFrameRendered(frameNumber int, bitmapReference CloseableReference<Bitmap>, frameType int) : void in class com.facebook.fresco.animation.bitmap.cache.KeepLastFrameCache
4e6e97a133323e2fbc4b564c92db9eb80789cd47;Rename Parameter;Rename Parameter	bitmap : CloseableReference<Bitmap> to bitmapReference : CloseableReference<Bitmap> in method public onFrameRendered(frameNumber int, bitmapReference CloseableReference<Bitmap>, frameType int) : void in class com.facebook.fresco.animation.bitmap.cache.NoOpCache
4e6e97a133323e2fbc4b564c92db9eb80789cd47;Rename Parameter;Rename Parameter	bitmap : CloseableReference<Bitmap> to bitmapReference : CloseableReference<Bitmap> in method public onFrameRendered(frameNumber int, bitmapReference CloseableReference<Bitmap>, frameType int) : void in class com.facebook.samples.animation2.bitmap.NaiveCacheAllFramesCachingBackend
e8ef32f59652e390b2c295012a3071450e35022c;Extract Variable;Extract Variable	listener : ProducerListener in method private handleFinalResult(pooledOutputStream PooledByteBufferOutputStream, fetchState FetchState) : void from class com.facebook.imagepipeline.producers.NetworkFetchProducer
8dede1e2a1c4de341aca75406e034f77f261416a;Rename Method;Rename Method	private applyBackendSettings(backend AnimationBackend) : void renamed to private applyBackendProperties(backend AnimationBackend) : void in class com.facebook.fresco.animation.backend.AnimationBackendDelegate
a528480ebe87b6e8124796959e9ccd015338cc79;Change Parameter Type;Change Parameter Type	referent : CloseableReference to referent : CloseableReferenceWithoutFinalizer in method public Destructor(referent CloseableReferenceWithoutFinalizer, referenceQueue ReferenceQueue<? super CloseableReference>) in class com.facebook.common.references.CloseableReference.CloseableReferenceWithoutFinalizer.Destructor
a528480ebe87b6e8124796959e9ccd015338cc79;Push Down Attribute;Push Down Attribute	protected mIsClosed : boolean from class com.facebook.common.references.CloseableReference to private mIsClosed : boolean from class com.facebook.common.references.CloseableReference.CloseableReferenceWithFinalizer
a528480ebe87b6e8124796959e9ccd015338cc79;Push Down Attribute;Push Down Attribute	protected mSharedReference : SharedReference<T> from class com.facebook.common.references.CloseableReference to private mSharedReference : SharedReference<T> from class com.facebook.common.references.CloseableReference.CloseableReferenceWithFinalizer
a528480ebe87b6e8124796959e9ccd015338cc79;Push Down Method;Push Down Method	public close() : void from class com.facebook.common.references.CloseableReference to public close() : void from class com.facebook.common.references.CloseableReference.CloseableReferenceWithFinalizer
a528480ebe87b6e8124796959e9ccd015338cc79;Push Down Method;Push Down Method	public get() : T from class com.facebook.common.references.CloseableReference to public get() : T from class com.facebook.common.references.CloseableReference.CloseableReferenceWithFinalizer
a528480ebe87b6e8124796959e9ccd015338cc79;Push Down Method;Push Down Method	public isValid() : boolean from class com.facebook.common.references.CloseableReference to public isValid() : boolean from class com.facebook.common.references.CloseableReference.CloseableReferenceWithFinalizer
a528480ebe87b6e8124796959e9ccd015338cc79;Push Down Method;Push Down Method	public getUnderlyingReferenceTestOnly() : SharedReference<T> from class com.facebook.common.references.CloseableReference to public getUnderlyingReferenceTestOnly() : SharedReference<T> from class com.facebook.common.references.CloseableReference.CloseableReferenceWithoutFinalizer
a528480ebe87b6e8124796959e9ccd015338cc79;Push Down Method;Push Down Method	public getUnderlyingReferenceTestOnly() : SharedReference<T> from class com.facebook.common.references.CloseableReference to public getUnderlyingReferenceTestOnly() : SharedReference<T> from class com.facebook.common.references.CloseableReference.CloseableReferenceWithFinalizer
a528480ebe87b6e8124796959e9ccd015338cc79;Push Down Method;Push Down Method	public getValueHash() : int from class com.facebook.common.references.CloseableReference to public getValueHash() : int from class com.facebook.common.references.CloseableReference.CloseableReferenceWithoutFinalizer
a528480ebe87b6e8124796959e9ccd015338cc79;Push Down Method;Push Down Method	public getValueHash() : int from class com.facebook.common.references.CloseableReference to public getValueHash() : int from class com.facebook.common.references.CloseableReference.CloseableReferenceWithFinalizer
